Employee_ID,Age,Gender,Department,Job_Level,Salary,Years_at_Company,Performance_Rating,Training_Hours,Job_Satisfaction,Overtime,Manager_Rating,Promoted_Last_2_Years,Attrition
E038,46,Female,IT,Manager,108000,13.0,5,39,5,No,5,Yes,No
E039,32,Male,Sales,Mid,47000,4.0,3,14,3,Yes,3,No,Yes
E040,27,Female,Finance,Junior,45000,1.7,3,16,3,No,3,No,No
E041,35,Male,IT,Senior,81000,7.5,5,34,5,No,5,Yes,No
E042,30,Female,Sales,Mid,45000,3.6,3,13,3,Yes,3,No,Yes
E043,41,Male,HR,Senior,70000,9.5,4,23,4,No,4,Yes,No
E044,28,Female,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E045,36,Male,Finance,Mid,63000,5.2,4,19,4,No,4,No,No
E046,33,Female,IT,Mid,68000,4.8,5,33,5,No,5,No,No
E047,27,Male,Sales,Junior,37000,0.9,2,9,2,Yes,2,No,Yes
E048,44,Female,Operations,Manager,92000,11.5,5,23,5,No,5,Yes,No
E049,31,Male,Finance,Mid,61000,3.4,4,17,4,No,4,No,No
E050,29,Female,HR,Junior,44000,1.9,3,20,3,No,3,No,No
E051,38,Male,IT,Senior,83000,8.0,5,37,5,No,5,Yes,No
E052,26,Female,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
E053,42,Male,Finance,Manager,98000,12.5,5,16,5,No,5,Yes,No
E054,34,Female,Operations,Mid,52000,5.8,4,21,4,No,4,No,No
E055,30,Male,HR,Mid,54000,3.0,3,19,3,No,3,No,No
E056,27,Female,IT,Junior,59000,1.4,4,28,4,No,4,No,No
E057,39,Male,Sales,Senior,58000,7.0,3,16,3,Yes,3,No,Yes
E058,35,Female,Finance,Senior,77000,8.8,4,18,4,No,4,Yes,No
E059,28,Male,Operations,Junior,35000,1.0,2,10,2,Yes,2,No,Yes
E060,47,Female,IT,Manager,112000,14.5,5,40,5,No,5,Yes,No
E061,32,Male,HR,Mid,55000,4.1,4,22,4,No,4,No,No
E062,29,Female,Sales,Junior,38000,1.3,3,12,3,Yes,3,No,Yes
E063,36,Male,Finance,Mid,64000,5.5,4,19,4,No,4,No,No
E064,31,Female,IT,Mid,67000,3.2,5,31,5,No,5,No,No
E065,26,Male,Sales,Junior,36500,0.8,2,8,2,Yes,2,No,Yes
E066,43,Female,Operations,Manager,91000,11.2,5,22,5,No,5,Yes,No
E067,33,Male,Finance,Mid,62000,4.6,4,18,4,No,4,No,No
E068,28,Female,HR,Junior,43000,1.8,3,20,3,No,3,No,No
E069,40,Male,IT,Senior,84000,8.5,5,36,5,No,5,Yes,No
E070,27,Female,Sales,Junior,37000,0.9,2,9,2,Yes,2,No,Yes
E071,35,Male,Operations,Mid,51000,5.0,4,21,4,No,4,No,No
E072,30,Female,Finance,Mid,60000,3.5,4,17,4,No,4,No,No
E073,29,Male,IT,Mid,66000,2.5,4,30,4,No,4,No,No
E074,44,Female,HR,Manager,89000,10.8,5,21,5,No,5,Yes,No
E075,32,Male,Sales,Mid,46000,3.9,3,14,3,Yes,3,No,Yes
E076,27,Female,IT,Junior,58000,1.5,4,27,4,No,4,No,No
E077,38,Male,Finance,Senior,75000,8.3,4,18,4,No,4,No,No
E078,34,Female,Operations,Mid,52000,5.2,4,21,4,No,4,No,No
E079,26,Male,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
E080,41,Female,IT,Manager,106000,11.8,5,39,5,No,5,Yes,No
E081,31,Male,HR,Mid,53000,3.6,3,19,3,No,3,No,No
E082,29,Female,Sales,Junior,38500,1.2,3,12,3,Yes,3,No,Yes
E083,36,Male,Finance,Mid,63000,5.3,4,18,4,No,4,No,No
E084,33,Female,IT,Mid,68000,4.5,5,32,5,No,5,No,No
E085,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E086,45,Female,Finance,Manager,96000,12.2,5,16,5,No,5,Yes,No
E087,30,Male,HR,Mid,54000,3.1,4,21,4,No,4,No,No
E088,27,Female,Sales,Junior,37000,0.8,2,9,2,Yes,2,No,Yes
E089,39,Male,IT,Senior,82000,7.9,5,35,5,No,5,Yes,No
E090,34,Female,Operations,Mid,51000,5.6,4,21,4,No,4,No,No
E091,29,Male,Finance,Junior,46000,1.6,3,16,3,No,3,No,No
E092,42,Female,HR,Senior,71000,9.8,4,23,4,No,4,Yes,No
E093,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E094,37,Female,IT,Senior,83000,7.6,5,36,5,No,5,Yes,No
E095,31,Male,Finance,Mid,61000,3.3,4,17,4,No,4,No,No
E096,28,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E097,43,Male,IT,Manager,107000,12.8,5,40,5,No,5,Yes,No
E098,33,Female,Sales,Mid,47000,4.3,3,14,3,Yes,3,No,Yes
E099,30,Male,HR,Mid,53000,3.4,3,19,3,No,3,No,No
E100,27,Female,Finance,Junior,44000,1.7,3,16,3,No,3,No,No
E101,35,Male,IT,Senior,80000,7.3,5,34,5,No,5,Yes,No
E102,29,Female,Sales,Junior,38000,1.1,3,12,3,Yes,3,No,Yes
E103,40,Male,Finance,Senior,76000,9.1,4,18,4,No,4,Yes,No
E104,32,Female,Operations,Mid,51000,4.4,4,21,4,No,4,No,No
E105,27,Male,HR,Junior,42000,1.6,3,19,3,No,3,No,No
E106,46,Female,IT,Manager,109000,13.5,5,39,5,No,5,Yes,No
E107,31,Male,Sales,Mid,46000,3.7,3,14,3,Yes,3,No,Yes
E108,28,Female,Finance,Junior,45000,1.8,3,16,3,No,3,No,No
E109,38,Male,IT,Senior,82000,8.1,5,35,5,No,5,Yes,No
E110,34,Female,HR,Mid,56000,5.7,4,25,4,No,4,No,No
E111,26,Male,Sales,Junior,36500,0.8,2,8,2,Yes,2,No,Yes
E112,43,Female,Operations,Manager,90000,11.3,5,22,5,No,5,Yes,No
E113,30,Male,Finance,Mid,60000,3.6,4,17,4,No,4,No,No
E114,29,Female,IT,Mid,66000,2.6,4,30,4,No,4,No,No
E115,36,Male,Sales,Senior,57000,6.8,3,15,3,Yes,3,No,Yes
E116,33,Female,HR,Mid,55000,5.0,4,24,4,No,4,No,No
E117,28,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E118,41,Female,Finance,Senior,77000,9.4,4,18,4,No,4,Yes,No
E119,27,Male,IT,Junior,59000,1.4,4,28,4,No,4,No,No
E120,44,Female,HR,Manager,88000,10.5,5,20,5,No,5,Yes,No
E121,32,Male,Sales,Mid,47000,4.1,3,14,3,Yes,3,No,Yes
E122,29,Female,IT,Mid,67000,2.9,5,31,5,No,5,No,No
E123,37,Male,Finance,Senior,74000,8.4,4,18,4,No,4,No,No
E124,31,Female,Operations,Mid,51000,4.6,4,21,4,No,4,No,No
E125,26,Male,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
E126,48,Female,IT,Manager,111000,14.2,5,40,5,No,5,Yes,No
E127,33,Male,HR,Mid,54000,4.8,4,22,4,No,4,No,No
E128,28,Female,Sales,Junior,38000,1.3,3,12,3,Yes,3,No,Yes
E129,39,Male,Finance,Senior,75000,8.6,4,18,4,No,4,No,No
E130,35,Female,IT,Senior,81000,7.4,5,35,5,No,5,Yes,No
E131,27,Male,Operations,Junior,34500,1.0,2,10,2,Yes,2,No,Yes
E132,42,Female,Finance,Manager,97000,12.3,5,16,5,No,5,Yes,No
E133,30,Male,IT,Mid,66000,2.7,4,30,4,No,4,No,No
E134,29,Female,Sales,Junior,37500,1.1,2,9,2,Yes,2,No,Yes
E135,36,Male,HR,Senior,69000,8.2,4,23,4,No,4,Yes,No
E136,34,Female,Operations,Mid,52000,5.9,4,21,4,No,4,No,No
E137,28,Male,Finance,Junior,45000,1.7,3,16,3,No,3,No,No
E138,45,Female,IT,Manager,108000,13.2,5,39,5,No,5,Yes,No
E139,31,Male,Sales,Mid,46500,3.8,3,14,3,Yes,3,No,Yes
E140,27,Female,HR,Junior,42000,1.5,3,19,3,No,3,No,No
E141,38,Male,IT,Senior,83000,8.2,5,36,5,No,5,Yes,No
E142,33,Female,Finance,Mid,62000,4.7,4,18,4,No,4,No,No
E143,29,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E144,40,Female,HR,Senior,70000,9.6,4,23,4,No,4,Yes,No
E145,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E146,43,Female,IT,Manager,106000,12.0,5,38,5,No,5,Yes,No
E147,32,Male,Finance,Mid,61000,3.5,4,17,4,No,4,No,No
E148,28,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E149,37,Male,IT,Senior,82000,7.7,5,35,5,No,5,Yes,No
E150,34,Female,Sales,Mid,47000,4.4,3,14,3,Yes,3,No,Yes
E151,30,Male,HR,Mid,53000,3.3,3,19,3,No,3,No,No
E152,27,Female,Finance,Junior,44000,1.6,3,16,3,No,3,No,No
E153,41,Male,IT,Senior,84000,8.7,5,37,5,No,5,Yes,No
E154,29,Female,Sales,Junior,38000,1.2,3,12,3,Yes,3,No,Yes
E155,35,Male,Operations,Mid,51000,5.1,4,21,4,No,4,No,No
E156,32,Female,Finance,Mid,61000,3.6,4,17,4,No,4,No,No
E157,28,Male,IT,Junior,59000,1.5,4,28,4,No,4,No,No
E158,44,Female,HR,Manager,89000,10.9,5,21,5,No,5,Yes,No
E159,31,Male,Sales,Mid,46000,3.9,3,14,3,Yes,3,No,Yes
E160,26,Female,IT,Junior,58000,1.3,4,27,4,No,4,No,No
E161,39,Male,Finance,Senior,76000,8.8,4,18,4,No,4,No,No
E162,33,Female,Operations,Mid,52000,5.3,4,21,4,No,4,No,No
E163,27,Male,Sales,Junior,37000,0.9,2,9,2,Yes,2,No,Yes
E164,46,Female,IT,Manager,110000,13.8,5,40,5,No,5,Yes,No
E165,30,Male,HR,Mid,54000,3.2,4,21,4,No,4,No,No
E166,29,Female,Sales,Junior,38500,1.3,3,12,3,Yes,3,No,Yes
E167,36,Male,Finance,Mid,63000,5.4,4,18,4,No,4,No,No
E168,34,Female,IT,Mid,68000,4.6,5,32,5,No,5,No,No
E169,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E170,42,Female,Finance,Manager,97000,12.4,5,16,5,No,5,Yes,No
E171,31,Male,HR,Mid,53000,3.7,3,19,3,No,3,No,No
E172,27,Female,Sales,Junior,37000,0.8,2,9,2,Yes,2,No,Yes
E173,38,Male,IT,Senior,82000,8.0,5,35,5,No,5,Yes,No
E174,35,Female,Operations,Mid,51000,5.7,4,21,4,No,4,No,No
E175,29,Male,Finance,Junior,46000,1.7,3,16,3,No,3,No,No
E176,43,Female,HR,Senior,71000,9.9,4,23,4,No,4,Yes,No
E177,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E178,40,Female,IT,Senior,83000,7.8,5,36,5,No,5,Yes,No
E179,32,Male,Finance,Mid,61000,3.4,4,17,4,No,4,No,No
E180,28,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E181,45,Male,IT,Manager,109000,13.0,5,39,5,No,5,Yes,No
E182,33,Female,Sales,Mid,47000,4.5,3,14,3,Yes,3,No,Yes
E183,30,Male,HR,Mid,54000,3.0,3,19,3,No,3,No,No
E184,27,Female,Finance,Junior,44000,1.8,3,16,3,No,3,No,No
E185,37,Male,IT,Senior,81000,7.5,5,34,5,No,5,Yes,No
E186,34,Female,Sales,Mid,46000,4.2,3,14,3,Yes,3,No,Yes
E187,29,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E188,41,Female,Finance,Senior,77000,9.5,4,18,4,No,4,Yes,No
E189,26,Male,IT,Junior,58000,1.4,4,27,4,No,4,No,No
E190,44,Female,HR,Manager,88000,10.6,5,20,5,No,5,Yes,No
E191,32,Male,Sales,Mid,46500,4.0,3,14,3,Yes,3,No,Yes
E192,28,Female,IT,Mid,66000,2.8,4,30,4,No,4,No,No
E193,36,Male,Finance,Mid,63000,5.6,4,18,4,No,4,No,No
E194,31,Female,Operations,Mid,51000,4.7,4,21,4,No,4,No,No
E195,27,Male,Sales,Junior,37000,0.9,2,9,2,Yes,2,No,Yes
E196,47,Female,IT,Manager,111000,14.0,5,40,5,No,5,Yes,No
E197,33,Male,HR,Mid,55000,4.9,4,22,4,No,4,No,No
E198,29,Female,Sales,Junior,38000,1.2,3,12,3,Yes,3,No,Yes
E199,38,Male,Finance,Senior,75000,8.5,4,18,4,No,4,No,No
E200,35,Female,IT,Senior,81000,7.6,5,35,5,No,5,Yes,No
E201,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E202,42,Female,Finance,Manager,96000,12.1,5,16,5,No,5,Yes,No
E203,30,Male,IT,Mid,66000,2.9,4,30,4,No,4,No,No
E204,26,Female,Sales,Junior,36500,0.7,2,8,2,Yes,2,No,Yes
E205,39,Male,HR,Senior,69000,8.3,4,23,4,No,4,Yes,No
E206,34,Female,Operations,Mid,52000,6.0,4,21,4,No,4,No,No
E207,29,Male,Finance,Junior,45500,1.8,3,16,3,No,3,No,No
E208,46,Female,IT,Manager,109000,13.4,5,39,5,No,5,Yes,No
E209,31,Male,Sales,Mid,46000,3.8,3,14,3,Yes,3,No,Yes
E210,27,Female,HR,Junior,42000,1.6,3,19,3,No,3,No,No
E211,40,Male,IT,Senior,83000,8.3,5,36,5,No,5,Yes,No
E212,33,Female,Finance,Mid,62000,4.8,4,18,4,No,4,No,No
E213,28,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E214,44,Female,HR,Manager,89000,10.7,5,21,5,No,5,Yes,No
E215,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E216,37,Female,IT,Senior,82000,7.9,5,35,5,No,5,Yes,No
E217,32,Male,Finance,Mid,61000,3.5,4,17,4,No,4,No,No
E218,29,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E219,41,Male,IT,Manager,106000,11.9,5,38,5,No,5,Yes,No
E220,35,Female,Sales,Mid,47000,4.6,3,14,3,Yes,3,No,Yes
E221,30,Male,HR,Mid,53000,3.1,3,19,3,No,3,No,No
E222,27,Female,Finance,Junior,44000,1.7,3,16,3,No,3,No,No
E223,38,Male,IT,Senior,82000,8.1,5,35,5,No,5,Yes,No
E224,34,Female,Operations,Mid,51000,5.8,4,21,4,No,4,No,No
E225,29,Male,Sales,Junior,38000,1.3,3,12,3,Yes,3,No,Yes
E226,43,Female,Finance,Manager,97000,12.5,5,16,5,No,5,Yes,No
E227,31,Male,HR,Mid,54000,3.6,4,21,4,No,4,No,No
E228,26,Female,IT,Junior,58000,1.4,4,27,4,No,4,No,No
E229,36,Male,Sales,Senior,57000,6.9,3,15,3,Yes,3,No,Yes
E230,33,Female,Finance,Mid,62000,4.9,4,18,4,No,4,No,No
E231,28,Male,Operations,Junior,34500,1.0,2,10,2,Yes,2,No,Yes
E232,45,Female,IT,Manager,110000,13.1,5,40,5,No,5,Yes,No
E233,30,Male,HR,Mid,53000,3.3,3,19,3,No,3,No,No
E234,27,Female,Sales,Junior,37000,0.8,2,9,2,Yes,2,No,Yes
E235,39,Male,Finance,Senior,75000,8.7,4,18,4,No,4,No,No
E236,35,Female,IT,Senior,81000,7.7,5,34,5,No,5,Yes,No
E237,29,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E238,42,Female,HR,Senior,71000,9.7,4,23,4,No,4,Yes,No
E239,26,Male,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
E240,40,Female,IT,Senior,83000,8.0,5,36,5,No,5,Yes,No
E241,32,Male,Finance,Mid,61000,3.6,4,17,4,No,4,No,No
E242,28,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E243,37,Male,IT,Senior,82000,7.8,5,35,5,No,5,Yes,No
E244,34,Female,Sales,Mid,47000,4.3,3,14,3,Yes,3,No,Yes
E245,30,Male,HR,Mid,54000,3.2,3,19,3,No,3,No,No
E246,27,Female,Finance,Junior,44000,1.6,3,16,3,No,3,No,No
E247,41,Male,IT,Manager,107000,12.1,5,39,5,No,5,Yes,No
E248,33,Female,Sales,Mid,46500,4.4,3,14,3,Yes,3,No,Yes
E249,29,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E250,44,Female,Finance,Manager,96000,12.0,5,16,5,No,5,Yes,No
E251,31,Male,HR,Mid,53000,3.8,4,21,4,No,4,No,No
E252,26,Female,IT,Junior,58000,1.3,4,27,4,No,4,No,No
E253,38,Male,Sales,Senior,58000,7.1,3,15,3,Yes,3,No,Yes
E254,35,Female,Finance,Senior,77000,8.9,4,18,4,No,4,Yes,No
E255,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E256,47,Female,IT,Manager,112000,14.3,5,40,5,No,5,Yes,No
E257,32,Male,HR,Mid,55000,4.2,4,22,4,No,4,No,No
E258,29,Female,Sales,Junior,38000,1.2,3,12,3,Yes,3,No,Yes
E259,36,Male,Finance,Mid,63000,5.5,4,18,4,No,4,No,No
E260,33,Female,IT,Mid,68000,4.7,5,32,5,No,5,No,No
E261,27,Male,Operations,Junior,34500,1.0,2,10,2,Yes,2,No,Yes
E262,43,Female,Finance,Manager,98000,12.6,5,16,5,No,5,Yes,No
E263,30,Male,IT,Mid,66000,2.8,4,30,4,No,4,No,No
E264,28,Female,Sales,Junior,37500,1.1,2,9,2,Yes,2,No,Yes
E265,40,Male,HR,Senior,70000,9.4,4,23,4,No,4,Yes,No
E266,34,Female,Operations,Mid,52000,5.9,4,21,4,No,4,No,No
E267,29,Male,Finance,Junior,45500,1.8,3,16,3,No,3,No,No
E268,46,Female,IT,Manager,109000,13.6,5,39,5,No,5,Yes,No
E269,31,Male,Sales,Mid,46000,3.9,3,14,3,Yes,3,No,Yes
E270,27,Female,HR,Junior,42000,1.5,3,19,3,No,3,No,No
E271,39,Male,IT,Senior,83000,8.4,5,36,5,No,5,Yes,No
E272,33,Female,Finance,Mid,62000,4.8,4,18,4,No,4,No,No
E273,28,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E274,41,Female,HR,Manager,88000,10.4,5,20,5,No,5,Yes,No
E275,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E276,37,Female,IT,Senior,82000,7.6,5,35,5,No,5,Yes,No
E277,32,Male,Finance,Mid,61000,3.4,4,17,4,No,4,No,No
E278,29,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E279,44,Male,IT,Manager,108000,13.3,5,39,5,No,5,Yes,No
E280,35,Female,Sales,Mid,47000,4.5,3,14,3,Yes,3,No,Yes
E281,30,Male,HR,Mid,53000,3.0,3,19,3,No,3,No,No
E282,27,Female,Finance,Junior,44000,1.7,3,16,3,No,3,No,No
E283,38,Male,IT,Senior,82000,8.2,5,35,5,No,5,Yes,No
E284,34,Female,Operations,Mid,51000,5.7,4,21,4,No,4,No,No
E285,29,Male,Sales,Junior,38000,1.3,3,12,3,Yes,3,No,Yes
E286,42,Female,Finance,Manager,97000,12.2,5,16,5,No,5,Yes,No
E287,31,Male,HR,Mid,54000,3.5,4,21,4,No,4,No,No
E288,26,Female,IT,Junior,58000,1.4,4,27,4,No,4,No,No
E289,36,Male,Sales,Senior,57000,7.0,3,15,3,Yes,3,No,Yes
E290,33,Female,Finance,Mid,62000,5.0,4,18,4,No,4,No,No
E291,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E292,45,Female,IT,Manager,110000,13.2,5,40,5,No,5,Yes,No
E293,30,Male,HR,Mid,53000,3.4,3,19,3,No,3,No,No
E294,27,Female,Sales,Junior,37000,0.8,2,9,2,Yes,2,No,Yes
E295,40,Male,Finance,Senior,76000,9.0,4,18,4,No,4,Yes,No
E296,35,Female,IT,Senior,81000,7.5,5,34,5,No,5,Yes,No
E297,29,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E298,43,Female,HR,Senior,71000,9.8,4,23,4,No,4,Yes,No
E299,26,Male,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
E300,41,Female,IT,Senior,84000,8.6,5,37,5,No,5,Yes,No
E301,32,Male,Finance,Mid,61000,3.5,4,17,4,No,4,No,No
E302,28,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E303,37,Male,IT,Senior,82000,7.7,5,35,5,No,5,Yes,No
E304,34,Female,Sales,Mid,47000,4.4,3,14,3,Yes,3,No,Yes
E305,30,Male,HR,Mid,54000,3.1,3,19,3,No,3,No,No
E306,27,Female,Finance,Junior,44000,1.6,3,16,3,No,3,No,No
E307,46,Male,IT,Manager,110000,13.7,5,40,5,No,5,Yes,No
E308,33,Female,Sales,Mid,46500,4.3,3,14,3,Yes,3,No,Yes
E309,29,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E310,44,Female,Finance,Manager,96000,12.3,5,16,5,No,5,Yes,No
E311,31,Male,HR,Mid,53000,3.7,4,21,4,No,4,No,No
E312,26,Female,IT,Junior,58000,1.3,4,27,4,No,4,No,No
E313,38,Male,Sales,Senior,58000,7.2,3,15,3,Yes,3,No,Yes
E314,35,Female,Finance,Senior,77000,8.8,4,18,4,No,4,Yes,No
E315,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E316,47,Female,IT,Manager,112000,14.4,5,40,5,No,5,Yes,No
E317,32,Male,HR,Mid,55000,4.1,4,22,4,No,4,No,No
E318,29,Female,Sales,Junior,38000,1.2,3,12,3,Yes,3,No,Yes
E319,36,Male,Finance,Mid,63000,5.4,4,18,4,No,4,No,No
E320,33,Female,IT,Mid,68000,4.6,5,32,5,No,5,No,No
E321,27,Male,Operations,Junior,34500,1.0,2,10,2,Yes,2,No,Yes
E322,42,Female,Finance,Manager,97000,12.4,5,16,5,No,5,Yes,No
E323,30,Male,IT,Mid,66000,2.7,4,30,4,No,4,No,No
E324,28,Female,Sales,Junior,37500,1.1,2,9,2,Yes,2,No,Yes
E325,39,Male,HR,Senior,69000,8.4,4,23,4,No,4,Yes,No
E326,34,Female,Operations,Mid,52000,5.8,4,21,4,No,4,No,No
E327,29,Male,Finance,Junior,45500,1.7,3,16,3,No,3,No,No
E328,45,Female,IT,Manager,109000,13.0,5,39,5,No,5,Yes,No
E329,31,Male,Sales,Mid,46000,3.8,3,14,3,Yes,3,No,Yes
E330,27,Female,HR,Junior,42000,1.6,3,19,3,No,3,No,No
E331,40,Male,IT,Senior,83000,8.3,5,36,5,No,5,Yes,No
E332,33,Female,Finance,Mid,62000,4.7,4,18,4,No,4,No,No
E333,28,Male,Operations,Junior,35000,1.1,2,10,2,Yes,2,No,Yes
E334,44,Female,HR,Manager,89000,10.8,5,21,5,No,5,Yes,No
E335,26,Male,Sales,Junior,36000,0.6,2,8,2,Yes,2,No,Yes
E336,37,Female,IT,Senior,82000,7.8,5,35,5,No,5,Yes,No
E337,32,Male,Finance,Mid,61000,3.5,4,17,4,No,4,No,No
E338,29,Female,Operations,Junior,34000,1.0,2,10,2,Yes,2,No,Yes
E339,41,Male,IT,Manager,106000,11.8,5,38,5,No,5,Yes,No
E340,35,Female,Sales,Mid,47000,4.5,3,14,3,Yes,3,No,Yes
E341,30,Male,HR,Mid,53000,3.2,3,19,3,No,3,No,No
E342,27,Female,Finance,Junior,44000,1.7,3,16,3,No,3,No,No
E343,38,Male,IT,Senior,82000,8.0,5,35,5,No,5,Yes,No
E344,34,Female,Operations,Mid,51000,5.6,4,21,4,No,4,No,No
E345,29,Male,Sales,Junior,38000,1.3,3,12,3,Yes,3,No,Yes
E346,43,Female,Finance,Manager,98000,12.7,5,16,5,No,5,Yes,No
E347,31,Male,HR,Mid,54000,3.6,4,21,4,No,4,No,No
E348,26,Female,IT,Junior,58000,1.4,4,27,4,No,4,No,No
E349,36,Male,Sales,Senior,57000,6.8,3,15,3,Yes,3,No,Yes
E350,33,Female,Finance,Mid,62000,4.9,4,18,4,No,4,No,No
E351,28,Male,Operations,Junior,34500,1.1,2,10,2,Yes,2,No,Yes
E352,46,Female,IT,Manager,110000,13.5,5,40,5,No,5,Yes,No
E353,30,Male,HR,Mid,53000,3.3,3,19,3,No,3,No,No
E354,27,Female,Sales,Junior,37000,0.8,2,9,2,Yes,2,No,Yes
E355,39,Male,Finance,Senior,75000,8.6,4,18,4,No,4,No,No
E356,35,Female,IT,Senior,81000,7.4,5,34,5,No,5,Yes,No
E357,29,Male,Operations,Junior,35000,1.2,2,10,2,Yes,2,No,Yes
E358,42,Female,HR,Senior,71000,9.6,4,23,4,No,4,Yes,No
E359,26,Male,Sales,Junior,36000,0.7,2,8,2,Yes,2,No,Yes
